Track_name,Track_artist,Track_album_name,Track_album_release_date,Genre,Playlist_name,Playlist_subgenre,Duration_min,Speechiness,Danceability,Energy,Mode,Instrumentalness,Valence,Key,Tempo,Loudness,Acousticness,Liveness,Track_popularity,Popularity_type
UNAVAILABLE (feat. Musa Keys),"Davido, Musa Keys",Timeless,3/30/2023,latin,Afro-Latin Party,afro-latin,2.83,0.053,0.788,0.649,1,0.0136,0.229,2,113,-9.7,0.253,0.12,69,high
KANTE (feat. Fave),"Davido, FAVE",Timeless,3/30/2023,latin,Afro-Latin Party,afro-latin,3.23,0.093,0.724,0.809,0,0,0.606,6,99,-5,0.182,0.077,69,high
Fast Car,Luke Combs,Gettin' Old,3/24/2023,pop,Soft Pop Hits,soft,4.42,0.026,0.712,0.603,1,0,0.67,8,98,-5.5,0.186,0.115,82,high
Margaret (feat. Bleachers),"Lana Del Rey, Bleachers",Did you know that there's a tunnel under Ocean Blvd,3/24/2023,ambient,Dark Academia,academic,5.66,0.032,0.34,0.245,1,0.0992,0.192,9,103.8,-13.4,0.969,0.063,78,high
LALA,Myke Towers,LA VIDA ES UNA,3/23/2023,latin,Reggaeton Hits,reggaeton,3.3,0.044,0.708,0.737,1,0.00162,0.607,1,92,-4,0.074,0.096,82,high
"Soweto (with Don Toliver, Rema & Tempoe)","Victony, Rema, Tempoe, Don Toliver","Soweto (with Don Toliver, Rema and Tempoe)",3/22/2023,ambient,Meditative Vibes,meditative,3.66,0.076,0.719,0.756,0,0,0.647,5,105,-5.4,0.054,0.109,72,high
Deus Perdoa,"Filipe Ret, Dallass, Hunter",Deus Perdoa,3/21/2023,hip-hop,Trap,trap,2.29,0.086,0.607,0.671,0,0,0.316,4,147,-6.9,0.403,0.128,68,high
Coco Chanel,"Eladio Carrion, Bad Bunny",3MEN2 KBRN,3/17/2023,latin,Reggaeton Hits,reggaeton,3.47,0.103,0.863,0.706,0,0.00004,0.686,3,140,-5.6,0.143,0.079,73,high
La Bebe - Remix,"Yng Lvcas, Peso Pluma",La Bebe (Remix),3/17/2023,latin,Reggaeton Hits,reggaeton,3.91,0.333,0.812,0.479,0,0,0.559,2,169.9,-5.7,0.213,0.076,79,high
GOOD LOYAL THOTS,Odetari,GOOD LOYAL THOTS,3/15/2023,gaming,Top Gaming Tracks,modern,1.71,0.116,0.585,0.86,1,0.00014,0.607,6,146.4,-5.3,0.057,0.18,73,high
9:45,"Prabh Singh, Jay Trak, Rooh Sandhu",9:45,3/10/2023,hip-hop,Desi Hip-Hop,desi,1.96,0.1,0.796,0.455,0,0,0.352,1,100,-7.8,0.637,0.156,73,high
Embarrassed (feat. Travis Scott),"Don Toliver, Travis Scott",Love Sick (Deluxe),2/28/2023,hip-hop,Chill Hop,chill,3.21,0.034,0.848,0.506,0,0,0.593,4,116,-5.1,0.376,0.102,69,high
9mm,"Memphis Cult, Groove Dealers, SPLYXER",Memphis Cult Vol. 6,2/23/2023,gaming,Top Gaming Tracks,modern,1.45,0.041,0.737,0.915,1,0.00003,0.304,0,155,-2.7,0.003,0.084,73,high
Whistle (feat. Calum Scott),"Jax Jones, Calum Scott",Whistle (feat. Calum Scott),2/10/2023,electronic,Techno Bunker,techno,3.03,0.034,0.689,0.897,0,0,0.582,10,124,-4.5,0.145,0.068,69,high
Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",Watch This (ARIZONATEARS Pluggnb Remix),2/5/2023,gaming,Top Gaming Tracks,modern,2.72,0.039,0.686,0.897,0,0.103,0.355,11,130,-7.2,0.01,0.153,75,high
Last Night,Morgan Wallen,3 Songs At A Time Sampler,1/31/2023,pop,Soft Pop Hits,soft,2.73,0.035,0.492,0.673,1,0,0.488,6,203.8,-5.4,0.413,0.137,76,high
Makeba - Ian Asher Remix,"Jain, Ian Asher",Makeba (Ian Asher Remix),1/13/2023,electronic,Techno Bunker,techno,2.09,0.047,0.651,0.937,1,0.0975,0.666,7,124,-4.1,0.236,0.119,69,high
Gato de Noche,"Ñengo Flow, Bad Bunny",Gato de Noche,12/22/2022,latin,Chill Spanish Vibes,chill,3.78,0.162,0.892,0.662,1,0,0.607,8,94,-3.9,0.169,0.363,68,high
LET GO,Central Cee,LET GO,12/15/2022,hip-hop,UK Drill,drill,2.9,0.488,0.747,0.413,0,0,0.481,2,146.1,-11.2,0.848,0.17,72,high
Snooze,SZA,SOS,12/9/2022,r&b,R&B Hits,modern,3.36,0.132,0.559,0.551,1,0,0.392,5,143,-7.2,0.141,0.11,86,high
Nobody Gets Me,SZA,SOS,12/9/2022,r&b,R&B Hits,modern,3.01,0.029,0.358,0.284,1,0,0.276,7,99.8,-8.3,0.805,0.183,84,high
White Brown Black,"Avvy Sra, Karan Aujla, Jaani",White Brown Black,12/9/2022,indian,Bhangra Bangers,bhangra,2.93,0.095,0.868,0.748,0,0,0.829,1,120,-3.5,0.29,0.252,73,high
Open Arms (feat. Travis Scott),"SZA, Travis Scott",SOS,12/8/2022,r&b,R&B Hits,modern,3.99,0.138,0.434,0.586,1,0.0144,0.239,9,78.3,-7.6,0.753,0.146,80,high
Kill Bill,SZA,SOS,12/8/2022,r&b,R&B Hits,modern,2.57,0.039,0.644,0.735,1,0.144,0.418,8,89,-5.7,0.052,0.161,86,high
People,Libianca,People,12/6/2022,latin,Afro-Latin Party,afro-latin,3.08,0.068,0.573,0.422,0,0.00001,0.693,10,124.4,-7.6,0.551,0.102,76,high
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,12/2/2022,hip-hop,Gangster Rap,gangster,3.04,0.204,0.709,0.583,0,0,0.533,5,116.6,-5.3,0.138,0.195,79,high
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",HEROES & VILLAINS,12/2/2022,hip-hop,Trap,trap,3.33,0.047,0.573,0.668,0,0.00004,0.145,7,88,-4.4,0.189,0.109,82,high
Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",HEROES & VILLAINS,12/2/2022,arabic,Arab X,modern,3.25,0.309,0.765,0.552,0,0,0.492,1,119.5,-7.5,0.175,0.193,82,high
La Jumpa,"Arcángel, Bad Bunny",La Jumpa,11/30/2022,latin,Reggaeton Hits,reggaeton,4.26,0.194,0.713,0.703,1,0,0.576,8,123.1,-5.8,0.298,0.321,69,high
On Top,Karan Aujla,On Top,11/25/2022,hip-hop,Desi Hip-Hop,desi,3.06,0.153,0.831,0.75,0,0,0.662,10,140,-5.4,0.019,0.111,70,high
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",The Forever Story (Extended Version),10/31/2022,hip-hop,Gangster Rap,gangster,3.83,0.465,0.574,0.567,0,0,0.526,7,76,-7.1,0.164,0.258,78,high
Solitaire,Werenoi,Telegram,10/28/2022,electronic,French Touch,french,2.44,0.038,0.753,0.717,0,0.00258,0.601,1,118,-8.4,0.151,0.099,68,high
Anti-Hero,Taylor Swift,Midnights,10/21/2022,pop,Soft Pop Hits,soft,3.34,0.062,0.633,0.648,1,0,0.49,4,96.9,-6.6,0.121,0.161,81,high
Stick Season,Noah Kahan,Stick Season,10/14/2022,pop,Soft Pop Hits,soft,3.04,0.065,0.664,0.5,1,0,0.801,9,117.9,-6.9,0.799,0.097,87,high
Orange Juice,Noah Kahan,Stick Season,10/14/2022,folk,Indie Folk,indie,4.95,0.036,0.662,0.378,1,0.00001,0.207,9,120.1,-10.9,0.475,0.121,73,high
Homesick,Noah Kahan,Stick Season,10/14/2022,folk,Indie Folk,indie,3.24,0.037,0.505,0.624,1,0.00001,0.413,6,170.1,-6.5,0.025,0.314,70,high
KICK BACK,Kenshi Yonezu,KICK BACK,10/12/2022,j-pop,Anime Hits,anime,3.22,0.105,0.577,0.941,1,0,0.292,1,101.9,-5.2,0.002,0.089,72,high
THE LONELIEST,Måneskin,THE LONELIEST,10/7/2022,rock,Alternative Rock,alternative,4.12,0.028,0.519,0.595,1,0,0.237,2,129.8,-5,0.002,0.076,68,high
Nothing's New,Rio Romeo,Good God!,9/23/2022,pop,Bedroom Pop,bedroom,3.52,0.028,0.421,0.394,1,0,0.399,11,96.2,-8.3,0.863,0.098,78,high
Si No Estás,iñigo quintero,Si No Estás,9/23/2022,latin,Chill Spanish Vibes,chill,3.07,0.029,0.537,0.421,1,0,0.524,5,98.2,-8.7,0.827,0.138,80,high
End of Beginning,Djo,DECIDE,9/16/2022,pop,Today's Top Hits,mainstream,2.65,0.058,0.689,0.454,1,0.00259,0.912,2,160,-7.6,0.035,0.071,89,high
Rush,Ayra Starr,Rush,9/16/2022,ambient,Meditative Vibes,meditative,3.08,0.063,0.792,0.503,1,0.00057,0.381,1,100,-8,0.037,0.096,68,high
Miserable Man,David Kushner,Footprints I Found,9/16/2022,ambient,Dark Academia,academic,3.88,0.034,0.631,0.348,1,0.00009,0.32,10,110,-10.3,0.926,0.295,68,high
Baller,"Shubh, Ikky",Baller,9/9/2022,hip-hop,Desi Hip-Hop,desi,2.47,0.233,0.711,0.702,1,0.0163,0.674,5,180.2,-10,0.005,0.093,68,high
Maturidade,"KayBlack, Wall Hein, AMUSIK",Maturidade,9/8/2022,hip-hop,Trap,trap,2.37,0.387,0.722,0.411,0,0,0.503,2,172.4,-10,0.509,0.098,70,high
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),8/26/2022,gaming,Top Gaming Tracks,modern,2.92,0.034,0.561,0.965,0,0.00001,0.304,7,128,-3.7,0.004,0.371,85,high
GATÚBELA,"KAROL G, Maldy",GATÚBELA,8/26/2022,latin,Reggaeton Hits,reggaeton,3.49,0.386,0.627,0.858,0,0,0.342,11,92.5,-2.8,0.263,0.21,68,high
Idea 1,Gibran Alcocer,Idea 1,8/16/2022,classical,Neo-Classical,neo-classical,2.58,0.032,0.265,0.146,0,0.893,0.416,8,172.1,-21.1,0.985,0.104,71,high
Better,sign crushes motorist,i'll be okay,8/5/2022,pop,Bedroom Pop,bedroom,1.65,0.042,0.696,0.087,1,0.922,0.349,7,130,-25.2,0.988,0.108,73,high
DESPECHÁ,ROSALÍA,DESPECHÁ,7/28/2022,latin,Chill Spanish Vibes,chill,2.62,0.099,0.919,0.623,1,0.00002,0.775,7,130,-6.5,0.184,0.061,71,high
Show Me,Joey Bada$$,2000,7/22/2022,hip-hop,Chill Hop,chill,3.67,0.337,0.599,0.646,1,0,0.638,6,176.2,-6.3,0.222,0.128,68,high
Doja,Central Cee,Doja,7/21/2022,gaming,Top Gaming Tracks,modern,1.62,0.288,0.911,0.573,1,0,0.972,6,140,-7.4,0.38,0.403,77,high
The 30th,Billie Eilish,Guitar Songs,7/21/2022,ambient,Dark Academia,academic,3.61,0.051,0.387,0.135,1,0,0.21,7,83,-14.4,0.929,0.095,72,high
Romantic Homicide,d4vd,Romantic Homicide,7/20/2022,gaming,Top Gaming Tracks,modern,2.21,0.03,0.571,0.544,1,0.00805,0.216,6,132.1,-10.6,0.453,0.322,85,high
Nonsense,Sabrina Carpenter,emails i can't send,7/15/2022,pop,Soft Pop Hits,soft,2.73,0.034,0.74,0.697,1,0,0.732,8,139,-4.9,0.027,0.224,86,high
the perfect pair,beabadoobee,Beatopia,7/15/2022,pop,Bedroom Pop,bedroom,2.96,0.033,0.634,0.663,1,0.124,0.6,11,146.1,-6.8,0.433,0.102,80,high
soso,Omah Lay,Boy Alone,7/14/2022,latin,Afro-Latin Party,afro-latin,3.05,0.094,0.711,0.725,0,0.129,0.53,3,105,-8.3,0.424,0.11,74,high
ALL MINE,Brent Faiyaz,WASTELAND,7/8/2022,r&b,R&B Hits,modern,3.6,0.032,0.617,0.378,1,0.00009,0.22,9,142,-8.5,0.428,0.11,76,high
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",7/6/2022,latin,Chill Spanish Vibes,chill,3.32,0.044,0.621,0.782,1,0.033,0.55,2,128,-5.5,0.013,0.23,80,high
Astronomy,Conan Gray,Superache,6/24/2022,ambient,Dark Academia,academic,4.07,0.027,0.474,0.343,0,0.00003,0.152,4,145.1,-8.6,0.578,0.305,72,high
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",6/17/2022,hip-hop,Gangster Rap,gangster,3.64,0.175,0.529,0.673,1,0,0.366,0,165.9,-4.7,0,0.093,80,high
Sticky,Drake,"Honestly, Nevermind",6/17/2022,hip-hop,Gangster Rap,gangster,4.05,0.14,0.853,0.495,1,0.00022,0.077,6,137,-14.6,0.092,0.084,68,high
Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),6/17/2022,gaming,Top Gaming Tracks,modern,2.76,0.078,0.687,0.818,1,0,0.886,0,126,-4.2,0.011,0.248,76,high
KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW,6/10/2022,ambient,Meditative Vibes,meditative,2.46,0.065,0.649,0.655,0,0,0.793,10,92.9,-5.5,0.307,0.22,70,high
¿Qué Nos Pasó?,Anuel AA,¿Qué Nos Pasó?,5/26/2022,latin,Reggaeton Hits,reggaeton,4.1,0.061,0.703,0.694,0,0.00001,0.298,3,95,-4.8,0.436,0.12,71,high
N95,Kendrick Lamar,Mr. Morale & The Big Steppers,5/13/2022,hip-hop,Gangster Rap,gangster,3.27,0.105,0.79,0.67,1,0,0.408,1,140,-5.5,0.377,0.119,75,high
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",5/13/2022,pop,Soft Pop Hits,soft,2.47,0.048,0.704,0.797,1,0.00075,0.825,0,140,-5.9,0.083,0.055,79,high
Rich Spirit,Kendrick Lamar,Mr. Morale & The Big Steppers,5/13/2022,hip-hop,Chill Hop,chill,3.37,0.208,0.852,0.421,0,0,0.457,10,96,-9.2,0.428,0.106,73,high
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Un Verano Sin Ti,5/6/2022,latin,Chill Spanish Vibes,chill,4.3,0.041,0.647,0.686,0,0,0.268,3,79.9,-5.7,0.08,0.528,80,high
Otro Atardecer,"Bad Bunny, The Marías",Un Verano Sin Ti,5/6/2022,latin,Chill Spanish Vibes,chill,4.07,0.038,0.777,0.595,1,0.00139,0.546,2,108,-6.8,0.59,0.067,75,high
Yo No Soy Celoso,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Chill Spanish Vibes,chill,3.85,0.049,0.872,0.588,1,0,0.93,0,142,-6.3,0.275,0.17,70,high
Neverita,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Chill Spanish Vibes,chill,2.89,0.048,0.876,0.498,1,0,0.428,10,122,-7.5,0.071,0.143,75,high
Un Coco,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Chill Spanish Vibes,chill,3.27,0.062,0.839,0.69,1,0.00001,0.744,11,152,-4.5,0.207,0.176,76,high
Andrea,"Bad Bunny, Buscabulla",Un Verano Sin Ti,5/6/2022,latin,Chill Spanish Vibes,chill,5.66,0.375,0.797,0.616,0,0.00029,0.451,1,103.1,-10.2,0.762,0.098,74,high
Me Porto Bonito,"Bad Bunny, Chencho Corleone",Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,2.98,0.082,0.911,0.712,0,0.00003,0.425,1,92,-5.1,0.09,0.093,81,high
Efecto,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,3.55,0.052,0.801,0.475,0,0.00002,0.234,7,98,-8.8,0.141,0.064,79,high
Tarot,"Bad Bunny, JHAYCO",Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,3.96,0.042,0.795,0.684,0,0,0.419,11,114,-4,0.023,0.658,76,high
La Corriente,"Bad Bunny, Tony Dize",Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,3.31,0.195,0.663,0.786,0,0,0.579,11,196.1,-3.5,0.229,0.219,73,high
Moscow Mule,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,4.1,0.033,0.804,0.674,0,0,0.292,5,100,-5.5,0.294,0.115,79,high
Agosto,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,2.32,0.115,0.849,0.584,0,0.00001,0.724,1,115,-8.2,0.093,0.492,71,high
In My Room,Chance Peña,In My Room,5/6/2022,ambient,Dark Academia,academic,2.96,0.043,0.408,0.338,1,0.00064,0.1,4,133.9,-13.6,0.521,0.073,76,high
Me Fui de Vacaciones,Bad Bunny,Un Verano Sin Ti,5/6/2022,world,Tuvan Throat Singing,throat singing,3.02,0.051,0.714,0.645,1,0.00083,0.434,10,85,-5.5,0.229,0.094,70,high
Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,4.06,0.253,0.65,0.715,0,0.00029,0.187,5,106.7,-5.2,0.099,0.126,79,high
Después de la Playa,Bad Bunny,Un Verano Sin Ti,5/6/2022,latin,Reggaeton Hits,reggaeton,3.84,0.307,0.564,0.903,1,0,0.607,5,78.3,-3.2,0.356,0.175,71,high
PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,4/29/2022,hip-hop,Trap,trap,2.88,0.305,0.883,0.657,1,0,0.284,8,125,-5.7,0.06,0.128,77,high
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",I NEVER LIKED YOU,4/29/2022,gaming,Top Gaming Tracks,modern,3.16,0.34,0.463,0.642,1,0,0.339,1,83.4,-4.5,0.314,0.069,82,high
21 Reasons (feat. Ella Henderson),"Nathan Dawe, Ella Henderson",21 Reasons (feat. Ella Henderson),4/29/2022,electronic,Techno Bunker,techno,2.59,0.11,0.621,0.785,1,0.00001,0.779,6,124,-4.5,0.017,0.051,73,high
PROVENZA,KAROL G,PROVENZA,4/22/2022,latin,Chill Spanish Vibes,chill,3.5,0.054,0.87,0.516,1,0.00823,0.53,1,111,-8,0.656,0.11,71,high
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,pop,Soft Pop Hits,soft,3.8,0.04,0.369,0.192,0,0.00001,0.148,4,175.2,-12.2,0.555,0.095,85,high
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",Until I Found You (Em Beihold Version),4/22/2022,pop,Soft Pop Hits,soft,2.94,0.029,0.551,0.55,1,0,0.342,10,101.2,-5.3,0.777,0.202,78,high
Te Felicito,"Shakira, Rauw Alejandro",Te Felicito,4/21/2022,latin,Reggaeton Hits,reggaeton,2.87,0.317,0.695,0.636,1,0,0.575,5,174.1,-4.7,0.234,0.081,70,high
A Bird's Last Look,Macabre Plaza,Out With the Old in With the Taboo,4/21/2022,electronic,Vaporwave Essentials,vaporwave,1.16,0.052,0.552,0.715,1,0.702,0.858,2,113.9,-9.3,0.029,0.067,72,high
ceilings,Lizzy McAlpine,five seconds flat,4/8/2022,ambient,Dark Academia,academic,3.05,0.029,0.516,0.322,1,0.00194,0.261,9,148,-11.8,0.473,0.215,80,high
LA INOCENTE,"Mora, Feid",MICRODOSIS,4/1/2022,latin,Chill Spanish Vibes,chill,3.37,0.058,0.757,0.789,0,0,0.464,5,91.9,-3.5,0.307,0.072,78,high
Ferrari,"James Hype, Miggy Dela Rosa",Ferrari,4/1/2022,electronic,Techno Bunker,techno,3.11,0.049,0.847,0.69,0,0.00006,0.692,1,125,-7.9,0.013,0.053,76,high
MEMORIAS,"Mora, JHAYCO",MICRODOSIS,4/1/2022,latin,Reggaeton Hits,reggaeton,3.81,0.055,0.771,0.707,0,0,0.317,2,128,-6.4,0.389,0.075,73,high
Se Voce Nao Quer Passa a Vez,"Mc Delux, DJ Guih Da ZO",Se Voce Nao Quer Passa a Vez,3/22/2022,brazilian,Brazilian Funk,funk,2.23,0.222,0.956,0.827,1,0.00026,0.614,9,129.9,1.3,0.136,0.423,70,high
THE SHADE,Rex Orange County,WHO CARES?,3/11/2022,rock,Feel Good Indie Rock,feel-good,3.03,0.062,0.898,0.509,1,0,0.727,5,119.9,-8,0.391,0.088,74,high
Bones,Imagine Dragons,Bones,3/11/2022,gaming,Top Gaming Tracks,modern,2.75,0.046,0.773,0.742,0,0,0.571,5,114.1,-3.7,0.021,0.075,74,high
Oysters In My Pocket,Royel Otis,Oysters In My Pocket,3/10/2022,rock,Feel Good Indie Rock,feel-good,2.71,0.062,0.598,0.924,0,0.799,0.611,6,168,-5,0.021,0.17,76,high
2MS,Nemzzz,2MS,2/24/2022,hip-hop,UK Drill,drill,1.8,0.848,0.885,0.332,1,0,0.423,1,141.8,-8.6,0.019,0.119,69,high
Belly Dancer,"Imanbek, BYOR",Belly Dancer,2/18/2022,electronic,Techno Bunker,techno,2.52,0.139,0.845,0.797,1,0.00001,0.422,1,122,-5,0.058,0.167,77,high
Fuera del mercado,Danny Ocean,@dannocean,2/17/2022,latin,Chill Spanish Vibes,chill,2.66,0.144,0.453,0.673,1,0,0.266,8,92.1,-5.6,0.32,0.131,76,high
Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),2/11/2022,korean,K-Drama OSTs,drama,3.52,0.068,0.512,0.76,0,0,0.495,2,130.1,-5.9,0.299,0.103,68,high
MAMIII,"Becky G, KAROL G",MAMIII,2/10/2022,latin,Reggaeton Hits,reggaeton,3.77,0.08,0.843,0.7,0,0,0.899,4,94,-3.6,0.093,0.14,69,high
Calm Down,Rema,Calm Down,2/10/2022,latin,Afro-Latin Party,afro-latin,3.66,0.043,0.811,0.781,1,0.001,0.824,11,107,-6.3,0.376,0.121,69,high
Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Yo Te Quiero Pa Mi,2/9/2022,latin,Reggaeton Hits,reggaeton,4.16,0.308,0.655,0.673,0,0,0.342,0,181.9,-6,0.473,0.075,70,high
Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",Where Did You Go (feat. MNEK),2/4/2022,electronic,Techno Bunker,techno,2.96,0.035,0.763,0.782,0,0.00001,0.502,7,127,-4.5,0.182,0.293,71,high
Christmas Tree,V,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",12/24/2021,korean,K-Drama OSTs,drama,3.5,0.042,0.437,0.384,1,0.00002,0.181,5,139,-8.4,0.699,0.121,69,high
Desesperados,"Rauw Alejandro, Chencho Corleone",Desesperados,12/11/2021,latin,Reggaeton Hits,reggaeton,3.75,0.078,0.869,0.694,0,0.00125,0.511,1,90,-3.4,0.356,0.088,68,high
Sexo Virtual,Rauw Alejandro,VICE VERSA,12/10/2021,latin,Reggaeton Hits,reggaeton,3.47,0.112,0.704,0.739,1,0.00002,0.425,8,179.9,-3.3,0.328,0.086,70,high
Feels Like,Gracie Abrams,This Is What It Feels Like,11/12/2021,ambient,Dark Academia,academic,2.54,0.046,0.617,0.483,1,0.00022,0.176,11,145,-7.4,0.702,0.121,73,high
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers",Red (Taylor's Version),11/12/2021,ambient,Dark Academia,academic,4.31,0.028,0.606,0.377,1,0,0.446,0,102,-9.5,0.817,0.154,71,high
AMOR DE CINE,HUMBE,AURORA,11/11/2021,latin,Chill Spanish Vibes,chill,4.37,0.061,0.326,0.586,1,0,0.295,6,190,-8,0.531,0.079,71,high
Ambition For Cash,Key Glock,Yellow Tape 2,11/5/2021,hip-hop,Gangster Rap,gangster,2.39,0.19,0.841,0.732,0,0.00002,0.576,7,149,-5.2,0.012,0.136,73,high
No Love (with SZA),"Summer Walker, SZA",Still Over It,11/5/2021,r&b,R&B Hits,modern,3.86,0.19,0.707,0.618,0,0,0.517,1,133.9,-5.8,0.17,0.293,72,high
Move Your Body,"Öwnboss, Sevek",Move Your Body,10/29/2021,electronic,Techno Bunker,techno,2.62,0.053,0.848,0.821,0,0.0004,0.249,2,125.1,-5.4,0.017,0.096,72,high
Tacones Rojos,Sebastian Yatra,Tacones Rojos,10/22/2021,latin,Chill Spanish Vibes,chill,3.16,0.035,0.748,0.856,0,0,0.927,11,123,-3.5,0.082,0.142,68,high
Give It To Me - Full Vocal Mix,Matt Sassari,Give It To Me (Full Vocal Mix),10/22/2021,electronic,Techno Bunker,techno,1.71,0.032,0.874,0.869,0,0.00238,0.726,1,126,-6,0.001,0.164,80,high
Easy On Me,Adele,Easy On Me,10/14/2021,pop,Soft Pop Hits,soft,3.74,0.028,0.604,0.366,1,0,0.13,5,142,-7.5,0.578,0.133,77,high
edamame,"bbno$, Rich Brian",eat ya veggies,10/8/2021,gaming,Top Gaming Tracks,modern,2.23,0.113,0.815,0.85,0,0.00014,0.694,4,106,-4.7,0.023,0.025,73,high
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),10/5/2021,latin,Reggaeton Hits,reggaeton,3.46,0.079,0.639,0.703,0,0,0.138,4,169.9,-6.3,0.089,0.087,70,high
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue,9/10/2021,hip-hop,Gangster Rap,gangster,4.2,0.33,0.711,0.611,1,0,0.144,1,134.1,-5.5,0.006,0.23,79,high
16,Baby Keem,The Melodic Blue,9/10/2021,hip-hop,Melodic Rap,melodic,2.6,0.138,0.701,0.782,1,0,0.57,1,94,-5,0.092,0.124,77,high
Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,9/8/2021,latin,Reggaeton Hits,reggaeton,3.5,0.049,0.734,0.846,0,0,0.604,9,98,-3.4,0.166,0.235,70,high
Fountains (with Tems),"Drake, Tems",Certified Lover Boy,9/3/2021,latin,Afro-Latin Party,afro-latin,3.21,0.195,0.843,0.485,0,0.0675,0.689,10,100.1,-8.7,0.181,0.107,68,high
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",Cold Heart (PNAU Remix),8/13/2021,pop,Soft Pop Hits,soft,3.38,0.032,0.796,0.798,1,0.00004,0.942,1,116,-6.3,0.034,0.095,79,high
"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")",8/5/2021,indian,Bollywood Butter,bollywood,3.81,0.05,0.603,0.573,1,0,0.236,1,82.9,-5.8,0.478,0.097,68,high
Volví,"Aventura, Bad Bunny",Volví,8/3/2021,latin,Reggaeton Hits,reggaeton,3.84,0.182,0.725,0.86,1,0.00028,0.791,1,175.9,-3.7,0.422,0.067,74,high
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",7/30/2021,indian,Bollywood Butter,bollywood,3.84,0.041,0.72,0.63,1,0,0.512,10,81,-5.5,0.615,0.108,70,high
Getting Older,Billie Eilish,Happier Than Ever,7/30/2021,ambient,Dark Academia,academic,4.07,0.109,0.599,0.128,1,0.121,0.367,10,159.7,-17.3,0.974,0.115,70,high
Male Fantasy,Billie Eilish,Happier Than Ever,7/30/2021,ambient,Dark Academia,academic,3.25,0.045,0.687,0.288,1,0,0.308,2,110.9,-10.4,0.863,0.099,70,high
Halley's Comet,Billie Eilish,Happier Than Ever,7/30/2021,ambient,Dark Academia,academic,3.91,0.104,0.403,0.159,0,0.0121,0.038,1,72.4,-16.7,0.961,0.34,75,high
Gatluak - Bakermat Remix,"Kronan, Nyaruach, Bakermat",Gatluak (Bakermat Remix),7/23/2021,electronic,Techno Bunker,techno,2.32,0.061,0.581,0.647,0,0.0502,0.257,11,117.7,-7.3,0.078,0.304,73,high
