Track_name,Track_artist,Track_album_name,Track_album_release_date,Genre,Playlist_name,Playlist_subgenre,Duration_min,Speechiness,Danceability,Energy,Mode,Instrumentalness,Valence,Key,Tempo,Loudness,Acousticness,Liveness,Track_popularity,Popularity_type
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,10/28/2024,pop,Global Top 50,global,4.63,0.039,0.392,0.555,0,0.00025,0.191,4,96.1,-6.7,0.287,0.13,87,high
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",CHROMAKOPIA,10/28/2024,hip-hop,Chill Hop,chill,4.23,0.102,0.373,0.818,0,0,0.361,3,97.6,-3.2,0.36,0.434,87,high
Disease,Lady Gaga,Disease,10/25/2024,pop,Today's Top Hits,mainstream,3.83,0.117,0.562,0.917,0,0,0.501,11,101,-2.8,0.051,0.488,86,high
Heart Of A Woman,Summer Walker,Heart Of A Woman,10/25/2024,r&b,R&B Hits,modern,2.85,0.112,0.716,0.43,0,0,0.472,9,129.9,-8.3,0.482,0.146,74,high
Ese Vato No Te Queda,"Carin Leon, Gabito Ballesteros",Ese Vato No Te Queda,10/24/2024,latin,Viva Latino,modern,3.31,0.039,0.748,0.74,0,0.00011,0.618,7,118,-3.6,0.029,0.087,75,high
JACKPOT,"Belinda, Kenia OS",JACKPOT,10/24/2024,latin,Viva Latino,modern,3.23,0.053,0.763,0.806,1,0.00001,0.594,2,123,-4.9,0.001,0.061,73,high
Siento que merezco más,LATIN MAFIA,TODOS LOS DÍAS TODO EL DÍA,10/24/2024,latin,Viva Latino,modern,2.77,0.085,0.55,0.445,1,0.00318,0.512,7,156,-9.5,0.262,0.507,73,high
Knife Brows,Dhanda Nyoliwala,DNW Vol. 1,10/19/2024,hip-hop,Desi Hip-Hop,desi,2.93,0.363,0.656,0.606,1,0,0.38,9,175.9,-5.9,0.335,0.105,68,high
APT.,"ROSÉ, Bruno Mars",APT.,10/18/2024,pop,Today's Top Hits,mainstream,2.83,0.26,0.777,0.783,0,0,0.939,0,149,-4.5,0.028,0.355,98,high
Love Somebody,Morgan Wallen,Love Somebody,10/18/2024,pop,Today's Top Hits,mainstream,3.41,0.028,0.619,0.843,0,0.00012,0.746,5,122.1,-5.3,0.009,0.164,86,high
HIM ALL ALONG,Gunna,HIM ALL ALONG,10/18/2024,hip-hop,RapCaviar,modern,2.64,0.072,0.872,0.507,0,0,0.506,4,130,-6.3,0.195,0.111,76,high
Piece of My Heart (feat. Brent Faiyaz),"Wizkid, Brent Faiyaz",Piece of My Heart (feat. Brent Faiyaz),10/18/2024,afrobeats,Afro Hits,nigerian,4.32,0.138,0.737,0.648,1,0.00001,0.746,1,93.2,-5.5,0.252,0.105,77,high
Morena Canela,Chino Pacas,Que Sigan Llegando Las Pacas (Extended),10/18/2024,latin,Viva Latino,modern,2.97,0.032,0.658,0.614,1,0.00002,0.465,10,119.9,-7,0.105,0.092,79,high
ROCKMAN,Mk.gee,ROCKMAN,10/18/2024,rock,Feel Good Indie Rock,feel-good,2.96,0.033,0.781,0.501,1,0,0.961,3,134,-9.8,0.66,0.091,68,high
THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,"SABLE,",10/18/2024,folk,Indie Folk,indie,3.34,0.029,0.413,0.467,1,0.0111,0.377,9,157.3,-9.3,0.732,0.071,69,high
Forever Young,"David Guetta, Alphaville, Ava Max",Forever Young,10/18/2024,electronic,Techno Bunker,techno,2.62,0.038,0.558,0.655,1,0,0.39,0,129.9,-5.5,0.208,0.085,77,high
Sifar Safar,Karan Aujla,Sifar Safar,10/18/2024,hip-hop,Desi Hip-Hop,desi,3.01,0.235,0.509,0.798,1,0,0.48,2,86.6,-4.5,0.006,0.203,70,high
That' So True,Gracie Abrams,The Secret of Us (Deluxe),10/18/2024,pop,Today's Top Hits,mainstream,2.77,0.037,0.554,0.808,1,0,0.372,1,108.5,-4.2,0.214,0.159,93,high
That's So True,Gracie Abrams,The Secret of Us (Deluxe),10/18/2024,pop,Global Top 50,global,2.77,0.037,0.554,0.808,1,0,0.372,1,108.5,-4.2,0.214,0.159,93,high
IA,"Clarent, Mora",IA,10/17/2024,latin,Viva Latino,modern,2.86,0.037,0.706,0.631,0,0,0.289,0,111.9,-5.8,0.656,0.227,80,high
DEGENERE  (feat. benny blanco),"Myke Towers, benny blanco",LA PANTERA NEGRA (DELUXE),10/17/2024,pop,Today's Top Hits,mainstream,2.18,0.284,0.744,0.709,0,0,0.712,6,194.1,-5.8,0.05,0.085,84,high
DEGENERE (feat. benny blanco),"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),10/16/2024,latin,Viva Latino,modern,2.18,0.284,0.744,0.709,0,0,0.712,6,194.1,-5.8,0.05,0.085,79,high
Fi Kan We Kan,"Bnxn, Rema",Fi Kan We Kan,10/15/2024,afrobeats,Afro Hits,nigerian,2.69,0.211,0.501,0.683,0,0.00009,0.623,6,145.4,-7.9,0.109,0.069,71,high
Both Ways,Juice WRLD,The Pre-Party (Extended),10/14/2024,hip-hop,RapCaviar,modern,3.29,0.283,0.726,0.396,0,0,0.413,5,78,-9.1,0.269,0.527,73,high
noviogangsta <3,Emilia,noviogangsta <3,10/12/2024,latin,Viva Latino,modern,2.62,0.044,0.816,0.872,0,0,0.94,11,128.9,-4.3,0.25,0.254,77,high
Leave Me Alone,BigXthaPlug,TAKE CARE,10/11/2024,hip-hop,RapCaviar,modern,2.4,0.243,0.835,0.802,1,0.00001,0.374,7,128.1,-4.3,0.031,0.088,71,high
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",GLORIOUS,10/11/2024,hip-hop,RapCaviar,modern,2.49,0.359,0.832,0.684,1,0,0.68,1,167,-4.7,0.004,0.229,78,high
2AM,BigXthaPlug,TAKE CARE,10/11/2024,hip-hop,RapCaviar,modern,3.07,0.149,0.884,0.681,1,0,0.324,8,115,-5.8,0.044,0.277,69,high
25,Rod Wave,Last Lap,10/11/2024,hip-hop,RapCaviar,modern,3,0.141,0.427,0.5,1,0,0.269,0,63.9,-8.3,0.286,0.127,76,high
PUSH 2 START,Tyla,TYLA +,10/11/2024,afrobeats,Afro Hits,nigerian,2.61,0.047,0.683,0.814,1,0.00826,0.758,2,93.5,-3.5,0.277,0.086,78,high
World Gone Wild (feat. Sam Martin),"Robin Schulz, CYRIL, Sam Martin",World Gone Wild (feat. Sam Martin),10/11/2024,electronic,Techno Bunker,techno,2.44,0.104,0.634,0.714,1,0.0025,0.409,7,128,-7.5,0.009,0.374,69,high
Mantra,JENNIE,Mantra,10/10/2024,pop,Today's Top Hits,mainstream,2.28,0.043,0.894,0.725,0,0.00001,0.838,10,117,-5,0.004,0.082,89,high
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (with Sexyy Red),10/10/2024,pop,Today's Top Hits,mainstream,2.49,0.363,0.836,0.691,1,0,0.703,1,167,-4.2,0.006,0.282,70,high
Tessera sanitaria (feat. Nerissima Serpe & Papa V),"Night Skinny, Nerissima Serpe, Papa V",Containers,10/10/2024,hip-hop,Trap,trap,3.41,0.383,0.513,0.822,1,0,0.768,1,165.9,-4.5,0.14,0.11,69,high
En Otra Vida,"Yami Safdie, Lasso",En Otra Vida,10/10/2024,latin,Viva Latino,modern,2.56,0.043,0.459,0.162,1,0,0.483,0,184.8,-11.6,0.929,0.137,79,high
Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),10/8/2024,pop,Today's Top Hits,mainstream,2.6,0.116,0.734,0.787,0,0,0.672,5,109.9,-4,0.126,0.312,82,high
alone - Remix,"FOLA, Bnxn",alone (Remix),10/4/2024,afrobeats,African Heat,african,2.58,0.151,0.578,0.52,0,0,0.425,11,95.9,-8.4,0.554,0.124,68,high
Born To Love Ya,"Gabry Ponte, Sean Paul, NATTI NATASHA",Born To Love Ya,10/4/2024,electronic,Techno Bunker,techno,2.58,0.052,0.652,0.863,0,0,0.805,7,130,-4.9,0.092,0.6,69,high
2 Times,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend",2 Times,10/4/2024,electronic,Techno Bunker,techno,2.53,0.271,0.772,0.951,0,0.00074,0.4,9,75,-3.4,0.063,0.036,68,high
Hecha Pa' Mí,Grupo Frontera,Hecha Pa' Mí,10/3/2024,latin,Viva Latino,modern,3.26,0.033,0.742,0.832,1,0,0.716,8,98.6,-4.3,0.086,0.296,82,high
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,9/27/2024,pop,Today's Top Hits,mainstream,4.27,0.051,0.769,0.722,0,0,0.57,11,120,-5.5,0.058,0.111,92,high
Gang Baby,NLE Choppa,SLUT SZN,9/27/2024,hip-hop,RapCaviar,modern,2.3,0.358,0.92,0.699,1,0,0.484,11,129.1,-6.6,0.008,0.075,72,high
Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",Blow for Blow (feat. J. Cole),9/27/2024,hip-hop,RapCaviar,modern,3.5,0.512,0.675,0.478,1,0.00001,0.39,1,104.6,-10.2,0.073,0.127,69,high
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,9/26/2024,pop,Today's Top Hits,mainstream,3.76,0.078,0.694,0.651,1,0.00001,0.471,6,112.6,-7,0.496,0.079,93,high
KINTSUGI,HUMBE,KINTSUGI,9/26/2024,latin,Viva Latino,modern,3.97,0.256,0.373,0.464,0,0.0135,0.301,4,79.5,-8.6,0.86,0.127,80,high
Frente al Mar,Beéle,Frente al Mar,9/26/2024,latin,Viva Latino,modern,2.75,0.095,0.75,0.682,1,0,0.618,10,100,-3.8,0.168,0.112,79,high
Soltera,Shakira,Soltera,9/25/2024,latin,Viva Latino,modern,3.58,0.105,0.841,0.752,1,0.00046,0.67,2,100.1,-4.7,0.167,0.949,86,high
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",PRIMERA MUSA,9/20/2024,pop,Today's Top Hits,mainstream,3.72,0.244,0.56,0.681,0,0,0.388,6,155.1,-6.3,0.103,0.106,89,high
PLUTOSKI,Future,MIXTAPE PLUTO,9/20/2024,hip-hop,RapCaviar,modern,2.98,0.059,0.794,0.533,1,0.00003,0.15,9,120,-8.2,0.14,0.207,73,high
LIL DEMON,Future,MIXTAPE PLUTO,9/20/2024,hip-hop,RapCaviar,modern,2.32,0.061,0.863,0.754,1,0,0.301,11,131,-5.9,0.001,0.091,77,high
The Viper,BabyChiefDoit,The Viper,9/20/2024,hip-hop,RapCaviar,modern,2.52,0.264,0.652,0.831,0,0,0.648,10,139.9,-6,0.011,0.269,68,high
TEFLON DON,Future,MIXTAPE PLUTO,9/20/2024,hip-hop,RapCaviar,modern,2.66,0.124,0.916,0.578,1,0.00402,0.192,11,124,-6.3,0.003,0.113,74,high
S P E Y S I D E,Bon Iver,S P E Y S I D E,9/20/2024,folk,Indie Folk,indie,3.48,0.031,0.467,0.247,1,0.0157,0.258,7,140.2,-14.2,0.906,0.157,72,high
Forever (feat. Malou & Yuna),"HUGEL, Diplo, Malou, Yuna",Forever (feat. Malou & Yuna),9/20/2024,electronic,Afro House,afro house,2.34,0.043,0.542,0.946,0,0.632,0.229,9,120,-6,0.031,0.107,71,high
MANON B,"Tiakola, Ryflo, Oskoow",BDLM VOL.1,9/20/2024,electronic,French Touch,french,2.83,0.176,0.872,0.708,1,0,0.308,10,130.1,-7.5,0.336,0.1,69,high
PONA NINI,"Tiakola, Genezio, Prototype",BDLM VOL.1,9/20/2024,electronic,French Touch,french,4.12,0.062,0.772,0.569,0,0,0.525,6,115,-7,0.235,0.117,71,high
